PZ-LZzSlhSe9utkQYU8pFg,Carluccio's Tivoli Gardens,36.1000163,-115.1285285,4.0,40,Italian
tstimHoMcYbkSC4eBA1wEg,Maria's Mexican Restaurant & Bakery,36.1956146,-115.0405289,4.5,184,Mexican
X8mtoSxY8whtmbDlj0D3Aw,Imperial Asian Buffet,36.238596,-115.2333307,2.0,4,Chinese
bJP4l_BGq2CudEu0m-wNjg,Artisan Fine Dining Room,36.1436722,-115.1697916,2.0,3,Italian
jScBTQtdAt-8RshaiBEHgw,Served,36.0107451,-115.0648029,4.5,664,Mexican
4n81G-pmC3rfhmaPsbwYKg,"Vince Neil's Tatuado | Eat, Drink, Party",36.1020497898,-115.1562883,4.5,3,American (Traditional)
iwGhazq9eP51PSerTrMrwg,Mr G's Pub & Grub,36.1290404,-115.0912939,4.0,27,American (Traditional)
XWa7nXOddOYKxojywngk8w,Body Food Kitchen,36.233048,-115.246776,5.0,7,American (Traditional)
jX9DocoiY4Bo9EUkaTSqvg,China AAA,35.99822,-115.102246,4.5,149,Chinese
jX9DocoiY4Bo9EUkaTSqvg,China AAA,35.99822,-115.102246,4.5,149,Japanese
jX9DocoiY4Bo9EUkaTSqvg,China AAA,35.99822,-115.102246,4.5,149,Mexican
SZ5KO1KNiwtrktKo5mpuLA,Empress Court,36.1161559,-115.1750576,3.5,21,Chinese
SZ5KO1KNiwtrktKo5mpuLA,Empress Court,36.1161559,-115.1750576,3.5,21,Italian
dusNIzdCaH6EoLl2hRy6cQ,Chipotle Mexican Grill,36.120095,-115.171769,3.5,115,Mexican
hgQOESYp7CF4LnNI90XEiw,800 Degrees,36.1423694,-115.156034,3.5,296,Italian
1nF8Me63cpxIkFK8Ysx-DA,Shabu Shabu Paradise,36.011899,-115.0628631,4.5,248,Japanese
F06m2yQSPHIrb1IT7heYeQ,Rainbow Kitchen,36.0514499584,-115.2441147342,4.0,101,Chinese
gFjHMjQXn5pbObxJupiuPA,Bar Charlie,36.124423,-115.146372,5.0,14,Japanese
X3s0BN02lS6EigSnJaSyDw,Teriwoki,36.0164931,-115.1170689,3.5,4,Chinese
q4i-GbjeSp6ucBDXGE9DqA,Imsiam Thai Restaurant and Noodle,36.1440225,-115.195896,4.5,66,Thai
9ttdN9MIS1j9c8Hp5TmZnw,Baja Fresh,36.1977963,-115.1918552,3.0,7,Mexican
H2Chxto2e6dHTDJ8-s3-pQ,Roberto's Taco Shop,36.1410796647,-115.1193113918,3.0,64,Mexican
GLKg_Lu1LK7A0EqR45gpAQ,Amigos,36.0319583,-115.0091278,3.0,3,Mexican
SGPjYRy6x7R5ZlGa_nrskg,Ranch House Kitchen,36.067199,-115.1722323,2.0,63,American (Traditional)
VVLGIq6ksrgGSfi7VBTmpg,America Cafe,36.1029312326,-115.1765441895,4.0,8,American (Traditional)
yKpdzrqe_qIbu9dB6bj9Gg,PGA Tour Grill,36.0835550898,-115.1521726325,2.5,80,American (Traditional)
tk7__jHNlFMsfShjv5CJNQ,Prince Restaurant,36.1140708,-115.2409255,4.0,35,American (Traditional)
nrahyQyopCtajDqUtVVVfA,The Sushi,36.0114785,-114.9922411,3.5,190,Japanese
iA4zWe_L1R4ruaEZ8N4KPA,Brooklyn Bagel,35.9992533,-115.1040028,3.5,32,American (Traditional)
8bZ49zy4KlFVu5teFETYhQ,Go Wild Sushi & Grill,36.1433538,-115.2512854,3.5,53,Japanese
aidcfUzZLOjWgwlxfv3UlA,Tony Big's Pizza N Pasta,36.0583571386,-115.2784112221,3.0,106,Italian
V78f9CdEVTkKFkyhdTYVrQ,IHOP,36.21935,-115.24493,3.5,66,American (Traditional)
2xbxXWeu3tpZEJdGTTGbLg,Fortune Chinese Restaurant,36.1440254,-115.1938769,3.5,24,Chinese
VR2LTEsJByan97fcYRkl5w,Mariscos El Mariachi,36.1721979927,-115.1156791918,3.0,33,Mexican
IbsvQEsWFv_ip7_t7i6UKg,Marie Callendar,36.0530335,-115.0457036,3.5,5,American (Traditional)
